B4.  Benützung der wissenschaftlichen Bibliotheken und Spezialbibliotheken 2014;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bibliothek;"Bundes-
land";Registrierte Personen1);;"Bibliotheks-
besuche 
(Benützungs-
fälle)";;"Benützte
Dokumente
(ohne Fristver-
längerungen)2)";;"Fernleihe: 
erhaltene 
Bestellungen
(In- und
Ausland)";;"Zugriffe auf
die Website";;"Suchanfragen 
in Online-
Katalogen";
Joseph Haydn Konservatorium des                       Landes Burgenland;B;370;;500;;550;;.;;.;;.;
Diözesanbibliothek Klagenfurt;K;-;;870;;853;;3;;2.582;;.;
Diözesan- und Universitätsbibliothek der Katholischen Privat-Universität Linz (DUB);O;5.514;;41.515;;12.077;;9;;.;;.;
Bundeseinrichtung für Erwachsenenbildung;S;1.475;;8.345;;5.795;;235;;.;;.;
Vorarlberger Landeskonservatorium;V;156;;(4.500);;11.801;;-;;.;;.;
Konservatorium Wien Privatuniversität;W;390;;7.579;;13.451;;(10);;.;;.;
Parlaments-, Behörden- u. Gerichtsbibliotheken;;;;;;;;;;;;;
Amtsbibliothek des Landesschulrates für Kärnten;K;163;;1.324;;1.203;;48;;.;;.;
Bundesstaatliche Pädagogische                                                                                                                                                                                                                                                                                                                                                Bibliothek beim Landesschulrat für NÖ                                                                                                                                                                                                                                                                                                                                              (inkl. Exposituren Baden und Hollabrunn);N;2.239;;98.353;;25.285;;1.253;;.;;.;
Administrative Bibliothek des Bundes4);W;.;;.;;.;;.;;.;;.;
Bundesanstalt für Agrarwirtschaft;W;.;;.;;119;;-;;.;;.;
Bundesministerium für Justiz;W;.;;.;;.;;.;;.;;.;
BMLVS Österreichische Militärbibliothek;W;334;;.;;18.719;;.;;.;;35.609;
Clusterbibliothek - Europäisches Dokumentationszentrum (EDZ)5);W;1.919;;.;;2.797;;935;;74.122;;.;
Oberster Gerichtshof;W;.;;.;;.;;-;;.;;.;
Österreichisches Patentamt;W;-;;800;;.;;.;;.;;.;
Parlamentsbibliothek;W;804;;8.833;;11.849;;16;;6.132;;2.338;
Bibliotheken von wissenschaftlichen Institutionen und Museen;;;;;;;;;;;;;
Adalbert-Stifter Institut ;O;-;7);140;;.;;.;;.;;.;
Oberösterreichisches Landesarchiv;O;.;8);.;;.;;12;;.;;.;
Tiroler Landesmuseum Ferdinandeum;T;.;;4.139;;(9.400);;.;;;;;
Stadtbibliothek Feldkirch;V;376;;.;;.;;823;;.;;.;
Bundesforschungs- und Ausbildungszentrum für Wald, Naturgefahren und Landschaft;W;.;;.;;.;;.;;.;;.;
C3-Bibliothek für Entwicklungspolitik;W;583;;7.771;;8.446;;16;;44.947;;192.384;
Institut für Höhere Studien (IHS);W;.;;1.197;;.;;43;;.;;.;
Literaturhaus Wien;W;-;;2.400;;-;;-;;3.960.300;;5.300;
Österreichische Akademie der Wissenschaft;W;184;;1.289;;1.208;11);96;;.;;.;
Österreichisches Institut für Wirtschaftsforschung;W;.;;.;;.;;.;;.;;.;
Österreichische Kulturdokumentation;W;.;;38;;140;;.;;34.000;;.;
Wiener Institut für Internationale Wirtschaftsvergleiche;W;40;;.;;.;;.;;.;;.;
Wiener Stadt- und Landesarchiv;W;.;;.;10);.;;-;12);.;;.;
Bibliotheken von Körperschaften und Vereinen;;;;;;;;;;;;;
Theologenbücherei Priesterseminar Graz;St;82;;.;;.;;-;;.;;.;
Bibliothek der Evangelischen Kirche;W;52;;.;;-;;-;;.;;.;
Christlich-jüdisches Informationszentrum;W;.;;186;;468;;5;;.;;.;
Wirtschaftskammer Wien;W;.;;.;;.;;.;;.;;.;
;;;;;;;;;;;;;
"Q: STATISTIK AUSTRIA; Österreichische Bibliotheksstatistik (ÖBS). Erstellt am 31.05.2016. 1) Registrierte Personen (mit Leserkarte, Bibliotheksausweis …), welche im Berichtsjahr tatsächlich aus der Bibliothek entliehen haben. - 2) In Lesesälen benützte Dokumente (ohne frei zugänglich aufgestellte Dokumente) sowie Entlehnungen. - 3) Durch einen Kooperationsvertrag mit dem Land Tirol ist die Bibliothek seit 2007 zusätzlich in der Rolle der Landesbibliothek bestätigt. - 4) Clusterbibliothek für das Bundeskanzleramt, die Bundesministerien für Inneres, für Bildung und Frauen sowie das Österreichische Staatsarchiv. - 5) Clusterbibliothek für die Bundesministerien für Arbeit, Soziales und Konsumentenschutz, für Familien und Jugend, für Gesundheit, für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, für Verkehr, Innovation und Technologie und für Wissenschaft, Forschung und Wirtschaft, das Bundesamt für Eich- und Vermessungswesen sowie die Bundesimmobiliengesellschaft. - 6) zumeist Leser die im Lesesaal Bücher einsehen, da Entlehnung in der ÖNB nur eingeschränkt möglich ist. - 7) Präsenzbibliothek (keine Entlehnungen möglich). - 8) Präsenzbibliothek (keine Entlehnung möglich). - 9) Kann infolge Freihandaufstellung nicht ermittelt werden. - 10) Wird nicht mehr erhoben. - 11)  Bibliothek war wegen Umbaumaßnahmen 2,5 Monate für Nutzer gesperrt. - 12) Keine Fernleihe möglich.";;;;;;;;;;;;;
