B5.  Personal und Ausgaben der wissenschaftlichen Bibliotheken und Spezialbibliotheken 2014;;;;;;;;;;;
;;;;;;;;;;;
Bibliothek;"Bundes-
land";"Beschäftigte 
insgesamt 
(Vollzeit-
äquivalente) ";;darunter;;;;"Ausgaben 
insgesamt";;darunter;
Universität für angewandte Kunst Wien;W;12,3;;3,0;;3,1;;881,7;;576,2;
Universität für Bodenkultur Wien;W;23,0;;6,0;;11,5;;.;;1.189,2;
Universität für Musik und darstellende Kunst Wien ;W;13,5;;2,0;;5,0;;.;;559,6;
Universität Wien;W;265,5;;71,4;;90,8;;.;;13.870,0;
Veterinärmedizinischen Universität Wien;W;13,7;;3,0;;6,5;;.;;612,8;
Wirtschaftsuniversität Wien;W;65,0;;.;;.;;.;;3.028,2;
Bibliotheken von Fachhochschulen;;;;;;;;;;;
FH Eisenstadt;B;3,0;;.;;.;;.;;.;
FH Villach;K;3,5;;1,3;;0,8;;.;;.;
FH St. Pölten;N;3,5;;1,0;;0,8;;.;;147,2;
FH Graz;St;1,0;;1,0;;-;;.;;.;
"FH JOANNEUM Bibliotheks- und 
Informationszentrum";St;5,4;;4,6;;0,8;;.;;.;
Fachhochschule des bfi Wien;W;1,5;;-;;-;;.;;.;
FH Campus Wien, Bibliothek und Mediathek;W;3,9;;.;;.;;.;;191,4;
FH Wien - Studiengänge der WKW;W;2,0;;-;;-;;.;;.;
Bibliotheken pädagogischer Hochschulen ;;;;;;;;;;;
Pädagogische Hochschule Burgenland;B;2,0;;-;;1,0;;161,3;;133,8;
Pädagogische Hochschule Kärnten;K;4,5;;-;;2,5;;.;;.;
Pädagogische Hochschule Oberösterreich;O;4,0;;.;;2,0;;.;;.;
Pädagogische Hochschule Salzburg;S;3,5;;-;;3,0;;.;;.;
Kirchlich Pädagogische Hochschule Graz;St;2,0;;0,5;;1,0;;.;;.;
Pädagogische Hoschschule Steiermark;St;7,5;;-;;2,5;;.;;.;
Pädagogische Hochschule Tirol;T;6,0;;.;;3,0;;.;;.;
Hochschule für Agrar- und Umweltpädagogik Wien;W;1,0;;0,5;;0,5;;.;;.;
Pädagogische Hochschule Wien Campusbibliothek;W;11,5;;-;;7,0;;.;;.;
Bibliotheken anderer Bildungseinrichtungen;;;;;;;;;;;
Joseph Haydn Konservatorium des                     Landes Burgenland;B;1,0;;.;;.;;.;;.;
Diözesanbibliothek Klagenfurt;K;1,5;;-;;-;;.;;.;
Diözesan- und Universitätsbibliothek der Katholischen Privat-Universität Linz;O;6,3;;1,0;;2,0;;500,8;;361,4;
Bundeseinrichtung für Erwachsenenbildung;S;.;;.;;.;;.;;.;
Vorarlberger Landeskonservatorium;V;2,0;;-;;1,0;;143,9;;110,9;
Konservatorium Wien Privatuniversität;W;2,0;;2,0;;-;;.;;.;
Parlaments-, Behörden- u. Gerichtsbibliotheken;;;;;;;;;;;
Amtsbibliothek des Landesschulrates für Kärnten;K;1,0;;1,0;;.;;.;;.;
Bundesstaatliche Pädagogische                                                                                                                                                                                                                                                                                                                                                Bibliothek beim Landesschulrat für NÖ                                                                                                                                                                                                                                                                                                                                              (inkl. Exposituren Baden und Hollabrunn);N;9,5;;2,5;;2,5;;.;;.;
Administrative Bibliothek des Bundes2);W;17,0;;5,0;;4,0;;.;;.;
Bundesanstalt für Agrarwirtschaft;W;2,0;;0,5;;1,0;;.;;.;
Bundesministerium für Justiz;W;1,6;;.;;1,0;;.;;.;
BMLVS Österreichische Militärbibliothek;W;13,0;;2,0;;6,0;;.;;.;
Clusterbibliothek - Europäisches Dokumentations-zentrum (EDZ)3);W;15,0;;2,0;;6,0;;.;;.;
Oberster Gerichtshof;W;5,0;;-;;2,0;;.;;.;
Österreichisches Patentamt;W;4,0;;-;;2,0;;.;;.;
Parlamentsbibliothek;W;9,7;;3,0;;4,0;;.;;.;
Bibliotheken von wissenschaftlichen Institutionen und Museen;;;;;;;;;;;
Adalbert-Stifter Institut ;O;.;;0,5;;0,5;;.;;.;
Oberösterreichisches Landesarchiv;O;1,0;;-;;1,0;;.;;.;
Tiroler Landesmuseum Ferdinandeum;T;6,0;;4,0;;2,0;;97,0;;.;
Stadtbibliothek Feldkirch;V;3,0;;1,0;;1,0;;48,9;;.;
"Bundesforschungs- und Ausbildungszentrum für 
Wald, Naturgefahren und Landschaft";W;3,0;;.;;1,5;;.;;.;
C3-Bibliothek für Entwicklungspolitik;W;3,6;;.;;.;;660,4;;371,2;
Institut für Höhere Studien (IHS);W;2,5;;0,5;;2,0;;-;;-;
Literaturhaus Wien;W;3,5;;3,5;;.;;;;.;
Österreichische Akademie der Wissenschaft;W;12,3;;3,0;;2,0;;.;;.;
Österreichisches Institut für Wirtschaftsforschung;W;2,0;;7,0;;.;;179,0;;.;
Österreichische Kulturdokumentation;W;0,5;;.;;0,5;;13,5;;9,0;
Winer Institut für Internationale Wirtschaftsvergleiche;W;0,5;;0,5;;-;;.;;.;
Wiener Stadt- und Landesarchiv;W;7,0;;3,0;;-;;385,9;;341,8;
Bibliotheken von Körperschaften und Vereinen;;;;;;;;;;;
Theologenbücherei Priesterseminar Graz;St;.;;1,0;;-;;.;;.;
Bibliothek der Evangelischen Kirche;W;0,7;;-;;-;;.;;33,2;
Christlich-jüdisches Informationszentrum;W;0,3;;.;;.;;11,2;;6,2;
Wirtschaftskammer Wien;W;3,5;;.;;.;;.;;.;
;;;;;;;;;;;
"Q: STATISTIK AUSTRIA; Österreichische Bibliotheksstatistik (ÖBS). Erstellt am 31.05.2016. 1) Durch einen Kooperationsvertrag mit dem Land Tirol ist die Bibliothek seit 2007 zusätzlich in der Rolle der Landesbibliothek bestätigt. - 2) Clusterbibliothek für das Bundeskanzleramt, die Bundesministerien für Inneres, für Bildung und Frauen sowie das Österreichische Staatsarchiv. - 3) Clusterbibliothek für die Bundesministerien für Arbeit, Soziales und Konsumentenschutz, für Familien und Jugend, für Gesundheit, für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft, für Verkehr, Innovation und Technologie und für Wissenschaft, Forschung und Wirtschaft, das Bundesamt für Eich- und Vermessungswesen sowie die Bundesimmobiliengesellschaft. - 4) Inkl. Sozialstellen.";;;;;;;;;;;
